Time,Open,High,Low,Close,Volume
2017-12-31 19:00:00,0.05358600,0.05404200,0.05347400,0.05375000,6805.69700000
2017-12-31 18:30:00,0.05325600,0.05365400,0.05308600,0.05358600,5444.14000000
2017-12-31 18:00:00,0.05319000,0.05339500,0.05279300,0.05330600,5380.03700000
2017-12-31 17:30:00,0.05304100,0.05342300,0.05296100,0.05319000,4379.05600000
2017-12-31 17:00:00,0.05293600,0.05320000,0.05280500,0.05308600,4742.54700000
2017-12-31 16:30:00,0.05284400,0.05306300,0.05279700,0.05290300,4749.64100000
2017-12-31 16:00:00,0.05284100,0.05300400,0.05270000,0.05284900,6218.12100000
2017-12-31 15:30:00,0.05313200,0.05319500,0.05265000,0.05284100,5577.91700000
2017-12-31 15:00:00,0.05318900,0.05331200,0.05293800,0.05313200,5740.52300000
2017-12-31 14:30:00,0.05310300,0.05333000,0.05295400,0.05313500,5013.77900000
2017-12-31 14:00:00,0.05314700,0.05319500,0.05273900,0.05310300,4939.34800000
2017-12-31 13:30:00,0.05311700,0.05322500,0.05300100,0.05314800,4964.48100000
2017-12-31 13:00:00,0.05311500,0.05322400,0.05290100,0.05311700,4811.08000000
2017-12-31 12:30:00,0.05304800,0.05335000,0.05300100,0.05311500,6033.40600000
2017-12-31 12:00:00,0.05262600,0.05353900,0.05258800,0.05311900,7685.70500000
2017-12-31 11:30:00,0.05365000,0.05374300,0.05230900,0.05262600,9827.17800000
2017-12-31 11:00:00,0.05439900,0.05465500,0.05337200,0.05369100,10004.26600000
2017-12-31 10:30:00,0.05449800,0.05487600,0.05422800,0.05439900,7692.32600000
2017-12-31 10:00:00,0.05469000,0.05474700,0.05394600,0.05449700,10149.52500000
2017-12-31 09:30:00,0.05454400,0.05500000,0.05427800,0.05460200,10302.78200000
2017-12-31 09:00:00,0.05468000,0.05475900,0.05432100,0.05454400,7963.19000000
2017-12-31 08:30:00,0.05470900,0.05492100,0.05441800,0.05463000,6552.60700000
2017-12-31 08:00:00,0.05478800,0.05507000,0.05442000,0.05476300,9248.45900000
2017-12-31 07:30:00,0.05450300,0.05490500,0.05425000,0.05473700,7867.99500000
2017-12-31 07:00:00,0.05475600,0.05500000,0.05450000,0.05450300,7028.13000000
2017-12-31 06:30:00,0.05465200,0.05477900,0.05440000,0.05475600,5822.39400000
2017-12-31 06:00:00,0.05477400,0.05489400,0.05450000,0.05465100,5511.05100000
2017-12-31 05:30:00,0.05477300,0.05490000,0.05455000,0.05477400,4914.69700000
2017-12-31 05:00:00,0.05494000,0.05499700,0.05466500,0.05477300,4430.61100000
2017-12-31 04:30:00,0.05495000,0.05505300,0.05486000,0.05494100,4719.03400000
2017-12-31 04:00:00,0.05486400,0.05503300,0.05470600,0.05501100,4664.31500000
2017-12-31 03:30:00,0.05471300,0.05498600,0.05434800,0.05481000,6230.02500000
2017-12-31 03:00:00,0.05447600,0.05493000,0.05388800,0.05466300,5708.07400000
2017-12-31 02:30:00,0.05439600,0.05460800,0.05430000,0.05447600,5394.45000000
2017-12-31 02:00:00,0.05489000,0.05493900,0.05435700,0.05444800,5569.38700000
2017-12-31 01:30:00,0.05464500,0.05500000,0.05453700,0.05489300,7678.36700000
2017-12-31 01:00:00,0.05449600,0.05483000,0.05430900,0.05464500,7033.50400000
2017-12-31 00:30:00,0.05399200,0.05472200,0.05388400,0.05449600,7490.32900000
2017-12-31 00:00:00,0.05411700,0.05450000,0.05379100,0.05394000,7892.79500000
2017-12-30 23:30:00,0.05424600,0.05443800,0.05370400,0.05406500,7142.06700000
2017-12-30 23:00:00,0.05363000,0.05434800,0.05361900,0.05424600,7348.32000000
2017-12-30 22:30:00,0.05282500,0.05370000,0.05263500,0.05363000,8227.95100000
2017-12-30 22:00:00,0.05319100,0.05398500,0.05272800,0.05281800,9274.38300000
2017-12-30 21:30:00,0.05421900,0.05450000,0.05316400,0.05319500,8759.72400000
2017-12-30 21:00:00,0.05412500,0.05445500,0.05400000,0.05426400,6678.64200000
2017-12-30 20:30:00,0.05440900,0.05460900,0.05400000,0.05412100,7748.60200000
2017-12-30 20:00:00,0.05459500,0.05492300,0.05432100,0.05440900,4864.42700000
2017-12-30 19:30:00,0.05522000,0.05538300,0.05450000,0.05454200,5624.43200000
2017-12-30 19:00:00,0.05506000,0.05544900,0.05500000,0.05522000,7598.84300000
2017-12-30 18:30:00,0.05468900,0.05520000,0.05467000,0.05512700,6042.54700000
2017-12-30 18:00:00,0.05485500,0.05493000,0.05450100,0.05468800,5050.32000000
2017-12-30 17:30:00,0.05488000,0.05505000,0.05469400,0.05480200,6423.04200000
2017-12-30 17:00:00,0.05507000,0.05513000,0.05459700,0.05482400,5520.88100000
2017-12-30 16:30:00,0.05486600,0.05511600,0.05472900,0.05506000,6312.34400000
2017-12-30 16:00:00,0.05427800,0.05500000,0.05426600,0.05491900,7642.82100000
2017-12-30 15:30:00,0.05422400,0.05466300,0.05418300,0.05427800,6875.71300000
2017-12-30 15:00:00,0.05374200,0.05445500,0.05359900,0.05427400,7735.70200000
2017-12-30 14:30:00,0.05396100,0.05428100,0.05370400,0.05374100,6966.99800000
2017-12-30 14:00:00,0.05483900,0.05530100,0.05382700,0.05390300,8604.74000000
2017-12-30 13:30:00,0.05485800,0.05520000,0.05469800,0.05487500,9055.17000000
2017-12-30 13:00:00,0.05415700,0.05499900,0.05401200,0.05485900,8691.79500000
2017-12-30 12:30:00,0.05500200,0.05514600,0.05411100,0.05415500,7408.71600000
2017-12-30 12:00:00,0.05521800,0.05530000,0.05491900,0.05500200,6722.22600000
2017-12-30 11:30:00,0.05472000,0.05530100,0.05456700,0.05521700,8791.94700000
2017-12-30 11:00:00,0.05458800,0.05480000,0.05434900,0.05472200,6736.66600000
2017-12-30 10:30:00,0.05501300,0.05509500,0.05441700,0.05458800,6360.43500000
2017-12-30 10:00:00,0.05490700,0.05525000,0.05458100,0.05502100,8032.57500000
2017-12-30 09:30:00,0.05497000,0.05520000,0.05461100,0.05490700,9429.14100000
2017-12-30 09:00:00,0.05428600,0.05499800,0.05403800,0.05497000,8676.37800000
2017-12-30 08:30:00,0.05421700,0.05450000,0.05408800,0.05430000,8288.50500000
2017-12-30 08:00:00,0.05361600,0.05442300,0.05352100,0.05415000,10388.00600000
2017-12-30 07:30:00,0.05356500,0.05389300,0.05342300,0.05361700,8718.77400000
2017-12-30 07:00:00,0.05303500,0.05380000,0.05296700,0.05356500,7974.01300000
2017-12-30 06:30:00,0.05286800,0.05330000,0.05276100,0.05298100,5954.93300000
2017-12-30 06:00:00,0.05325000,0.05325200,0.05264500,0.05286800,7964.32100000
2017-12-30 05:30:00,0.05306000,0.05350000,0.05292300,0.05320500,6575.11200000
2017-12-30 05:00:00,0.05284700,0.05320200,0.05281700,0.05306000,9383.29900000
2017-12-30 04:30:00,0.05252100,0.05300000,0.05248800,0.05284700,8276.64300000
2017-12-30 04:00:00,0.05228000,0.05280000,0.05227800,0.05252100,7659.31300000
2017-12-30 03:30:00,0.05205600,0.05269600,0.05187300,0.05232600,8128.70700000
2017-12-30 03:00:00,0.05180100,0.05250000,0.05170000,0.05200200,9153.92800000
2017-12-30 02:30:00,0.05192500,0.05201500,0.05165000,0.05178300,6800.30900000
2017-12-30 02:00:00,0.05186800,0.05209000,0.05180000,0.05183600,6959.29600000
2017-12-30 01:30:00,0.05173400,0.05200000,0.05161100,0.05193400,6882.47200000
2017-12-30 01:00:00,0.05187300,0.05196100,0.05150000,0.05171000,6335.66900000
2017-12-30 00:30:00,0.05181000,0.05200000,0.05158000,0.05182200,6388.53800000
2017-12-30 00:00:00,0.05156000,0.05185200,0.05140500,0.05181000,6333.21500000
2017-12-29 23:30:00,0.05127000,0.05182000,0.05112200,0.05156000,8138.97400000
2017-12-29 23:00:00,0.05148100,0.05155000,0.05080000,0.05127000,8421.23500000
2017-12-29 22:30:00,0.05180500,0.05189800,0.05123500,0.05139800,7843.13700000
2017-12-29 22:00:00,0.05174300,0.05247200,0.05151400,0.05180400,9885.91600000
2017-12-29 21:30:00,0.05188700,0.05227800,0.05151600,0.05178900,11088.10100000
2017-12-29 21:00:00,0.05147000,0.05240400,0.05000000,0.05186400,14622.82700000
2017-12-29 20:30:00,0.05109700,0.05150000,0.05068300,0.05147000,13682.11600000
2017-12-29 20:00:00,0.05094100,0.05130000,0.05083200,0.05109400,8057.80600000
2017-12-29 19:30:00,0.05114300,0.05166700,0.05090000,0.05102900,8605.25400000
2017-12-29 19:00:00,0.05102100,0.05132500,0.05100200,0.05114900,6563.91000000
2017-12-29 18:30:00,0.05066400,0.05105500,0.05050000,0.05102000,6659.08900000
2017-12-29 18:00:00,0.05082600,0.05095200,0.05056500,0.05074600,7800.84700000
2017-12-29 17:30:00,0.05064100,0.05100000,0.05050400,0.05082700,5676.94100000
2017-12-29 17:00:00,0.05095500,0.05100000,0.05050100,0.05064100,5787.70500000
2017-12-29 16:30:00,0.05085800,0.05117600,0.05076900,0.05097700,7140.58900000
2017-12-29 16:00:00,0.05099300,0.05101800,0.05050000,0.05085800,8670.11500000
2017-12-29 15:30:00,0.05110000,0.05125000,0.05095000,0.05096000,6736.11500000
2017-12-29 15:00:00,0.05111900,0.05125000,0.05099000,0.05110000,5551.74900000
2017-12-29 14:30:00,0.05095800,0.05133700,0.05091400,0.05111900,5283.13500000
2017-12-29 14:00:00,0.05087900,0.05116100,0.05070000,0.05091400,6686.88100000
2017-12-29 13:30:00,0.05086700,0.05105200,0.05058300,0.05088000,6557.32300000
2017-12-29 13:00:00,0.05092400,0.05108800,0.05081300,0.05086600,5589.85500000
2017-12-29 12:30:00,0.05037800,0.05150000,0.05030000,0.05097300,6441.35600000
2017-12-29 12:00:00,0.05111800,0.05159600,0.04997500,0.05037800,11864.06100000
2017-12-29 11:30:00,0.05162100,0.05167000,0.05104700,0.05111800,6754.25100000
2017-12-29 11:00:00,0.05160500,0.05199600,0.05141600,0.05154000,7553.36800000
2017-12-29 10:30:00,0.05180600,0.05186200,0.05131800,0.05160300,7887.13700000
2017-12-29 10:00:00,0.05160600,0.05200000,0.05144100,0.05180500,7067.54100000
2017-12-29 09:30:00,0.05142400,0.05189700,0.05142300,0.05160600,6481.71600000
2017-12-29 09:00:00,0.05169900,0.05182700,0.05125100,0.05142000,6698.07900000
2017-12-29 08:30:00,0.05135300,0.05170200,0.05129400,0.05170000,6201.11500000
2017-12-29 08:00:00,0.05104000,0.05143000,0.05090000,0.05139900,5443.27900000
2017-12-29 07:30:00,0.05130100,0.05144000,0.05069200,0.05104000,6676.49800000
2017-12-29 07:00:00,0.05096400,0.05144200,0.05066700,0.05129000,6698.23200000
2017-12-29 06:30:00,0.05097600,0.05110900,0.05085800,0.05096500,6658.41100000
2017-12-29 06:00:00,0.05081000,0.05108000,0.05054800,0.05097600,8089.01100000
2017-12-29 05:30:00,0.05072400,0.05100000,0.05058000,0.05090000,7247.59800000
2017-12-29 05:00:00,0.05047300,0.05075000,0.05034900,0.05066600,5538.89100000
2017-12-29 04:30:00,0.05067900,0.05073500,0.05029900,0.05047400,5291.23800000
2017-12-29 04:00:00,0.05070100,0.05083600,0.05030100,0.05067900,6289.69400000
2017-12-29 03:30:00,0.05074400,0.05098900,0.05070000,0.05070100,6294.19500000
2017-12-29 03:00:00,0.05066400,0.05100000,0.05060900,0.05074500,6996.00300000
2017-12-29 02:30:00,0.05020900,0.05079900,0.05020100,0.05061300,5816.93100000
2017-12-29 02:00:00,0.05020800,0.05039900,0.05004500,0.05025100,5317.92200000
2017-12-29 01:30:00,0.04989000,0.05028800,0.04988400,0.05025600,5600.39500000
2017-12-29 01:00:00,0.05003000,0.05014700,0.04971100,0.04989000,5192.29500000
2017-12-29 00:30:00,0.05015900,0.05039900,0.04994700,0.05003000,5683.05200000
2017-12-29 00:00:00,0.05014700,0.05029000,0.04996100,0.05011200,5453.23500000
2017-12-28 23:30:00,0.04977800,0.05014700,0.04972000,0.05008700,4718.31600000
2017-12-28 23:00:00,0.04995900,0.05002000,0.04956600,0.04977300,5475.54700000
2017-12-28 22:30:00,0.04986000,0.05001300,0.04978900,0.04995800,4654.59900000
2017-12-28 22:00:00,0.04958500,0.04990000,0.04952900,0.04981300,4944.48300000
2017-12-28 21:30:00,0.04968500,0.05000000,0.04950000,0.04953600,6478.29200000
2017-12-28 21:00:00,0.05031800,0.05033300,0.04963400,0.04966600,6114.74000000
