id,price,qty,time
80782188,0.00189890,2.35000000,2020-07-11 12:47:16.979
80782186,0.00189980,2.11000000,2020-07-11 12:47:11.694
80782185,0.00189950,1.70000000,2020-07-11 12:47:11.694
80782184,0.00189920,3.55000000,2020-07-11 12:47:11.694
80782187,0.00189990,12.64000000,2020-07-11 12:47:11.694
80782183,0.00189920,0.10000000,2020-07-11 12:47:10.716
80782182,0.00189910,0.10000000,2020-07-11 12:47:03.627
80782181,0.00189930,0.14000000,2020-07-11 12:46:58.503
80782180,0.00189820,90.20000000,2020-07-11 12:46:58.218
80782179,0.00189860,45.52000000,2020-07-11 12:46:58.218
80782174,0.00189970,4.26000000,2020-07-11 12:46:58.178
80782176,0.00189900,0.06000000,2020-07-11 12:46:58.178
80782175,0.00189970,1.00000000,2020-07-11 12:46:58.178
80782177,0.00189900,1.68000000,2020-07-11 12:46:58.178
80782178,0.00189860,2.93000000,2020-07-11 12:46:58.178
80782173,0.00189970,1.47000000,2020-07-11 12:46:57.627
80782172,0.00189970,9.55000000,2020-07-11 12:46:57.627
80782171,0.00189970,5.78000000,2020-07-11 12:46:53.584
80782170,0.00189980,3.31000000,2020-07-11 12:46:52.920
80782169,0.00189980,0.14000000,2020-07-11 12:46:52.179
80782168,0.00189980,1.56000000,2020-07-11 12:46:51.207
80782167,0.00189970,2.57000000,2020-07-11 12:46:48.579
80782166,0.00189970,2.10000000,2020-07-11 12:46:39.765
80782165,0.00189990,4.63000000,2020-07-11 12:46:34.333
80782164,0.00189970,1.06000000,2020-07-11 12:46:23.582
80782163,0.00189980,5.35000000,2020-07-11 12:46:23.582
80782162,0.00189970,2.97000000,2020-07-11 12:46:21.060
80782161,0.00189990,2.00000000,2020-07-11 12:46:15.566
80782160,0.00189970,2.58000000,2020-07-11 12:46:06.341
80782159,0.00189990,1.13000000,2020-07-11 12:46:03.645
80782158,0.00189970,0.39000000,2020-07-11 12:46:00.467
80782156,0.00189990,0.12000000,2020-07-11 12:45:59.397
80782155,0.00189990,0.86000000,2020-07-11 12:45:59.397
80782157,0.00189990,0.20000000,2020-07-11 12:45:59.397
80782154,0.00190000,2.00000000,2020-07-11 12:45:59.145
80782153,0.00190000,3.00000000,2020-07-11 12:45:56.439
80782152,0.00190000,2.00000000,2020-07-11 12:45:55.135
80782151,0.00189990,1.82000000,2020-07-11 12:45:52.560
80782150,0.00190040,0.90000000,2020-07-11 12:45:49.883
80782149,0.00190030,1.69000000,2020-07-11 12:45:49.874
80782148,0.00190020,2.30000000,2020-07-11 12:45:49.874
80782147,0.00190020,0.75000000,2020-07-11 12:45:49.847
80782146,0.00190020,1.35000000,2020-07-11 12:45:41.138
80782145,0.00190020,0.38000000,2020-07-11 12:45:40.122
80782144,0.00189990,2.47000000,2020-07-11 12:45:37.663
80782142,0.00189970,2.11000000,2020-07-11 12:45:36.116
80782143,0.00189960,1.34000000,2020-07-11 12:45:36.116
80782141,0.00190010,3.92000000,2020-07-11 12:45:30.702
80782140,0.00190010,1.43000000,2020-07-11 12:45:27.994
80782139,0.00190010,0.11000000,2020-07-11 12:45:26.207
80782138,0.00190010,1.81000000,2020-07-11 12:45:23.990
80782137,0.00189970,0.09000000,2020-07-11 12:45:21.942
80782136,0.00189820,1.97000000,2020-07-11 12:45:19.956
80782135,0.00190000,1.99000000,2020-07-11 12:45:19.951
80782134,0.00190000,19.94000000,2020-07-11 12:45:19.917
80782133,0.00190000,10.00000000,2020-07-11 12:45:19.910
80782132,0.00189990,3.60000000,2020-07-11 12:45:19.910
80782131,0.00189990,0.16000000,2020-07-11 12:45:18.792
80782130,0.00189990,0.11000000,2020-07-11 12:45:18.687
80782129,0.00189990,0.27000000,2020-07-11 12:45:18.587
80782128,0.00189990,0.17000000,2020-07-11 12:45:18.421
80782127,0.00190000,1.49000000,2020-07-11 12:45:10.575
80782126,0.00189890,22.28000000,2020-07-11 12:45:09.086
80782125,0.00189890,32.50000000,2020-07-11 12:45:09.070
80782124,0.00189930,2.37000000,2020-07-11 12:45:08.539
80782123,0.00189950,1.49000000,2020-07-11 12:45:07.051
80782122,0.00189960,1.34000000,2020-07-11 12:45:04.295
80782121,0.00189920,1.66000000,2020-07-11 12:45:03.087
80782120,0.00189920,1.63000000,2020-07-11 12:45:03.087
80782119,0.00189900,18.19000000,2020-07-11 12:45:03.087
80782118,0.00189920,0.14000000,2020-07-11 12:44:58.712
80782117,0.00189920,0.85000000,2020-07-11 12:44:58.617
80782116,0.00189890,1.79000000,2020-07-11 12:44:58.188
80782115,0.00189900,0.41000000,2020-07-11 12:44:57.659
80782114,0.00189920,1.59000000,2020-07-11 12:44:55.878
80782113,0.00190010,15.00000000,2020-07-11 12:44:54.687
80782110,0.00189950,1.72000000,2020-07-11 12:44:54.680
80782111,0.00190000,2.10000000,2020-07-11 12:44:54.680
80782112,0.00190010,5.35000000,2020-07-11 12:44:54.680
80782109,0.00190010,5.32000000,2020-07-11 12:44:52.127
80782108,0.00189910,2.40000000,2020-07-11 12:44:52.127
80782107,0.00189910,1.43000000,2020-07-11 12:44:52.127
80782106,0.00189910,0.77000000,2020-07-11 12:44:52.117
80782105,0.00189820,33.39000000,2020-07-11 12:44:52.062
80782104,0.00189840,2.00000000,2020-07-11 12:44:52.025
80782103,0.00189900,2.25000000,2020-07-11 12:44:51.584
80782102,0.00189820,7.04000000,2020-07-11 12:44:47.365
80782101,0.00189840,1.65000000,2020-07-11 12:44:47.365
80782100,0.00189910,0.30000000,2020-07-11 12:44:46.590
80782099,0.00189910,0.14000000,2020-07-11 12:44:45.685
80782098,0.00189840,1.35000000,2020-07-11 12:44:45.483
80782096,0.00189840,1.00000000,2020-07-11 12:44:44.411
80782095,0.00189870,1.22000000,2020-07-11 12:44:44.411
80782097,0.00189820,6.38000000,2020-07-11 12:44:44.411
80782094,0.00189870,0.52000000,2020-07-11 12:44:44.386
80782093,0.00189900,0.51000000,2020-07-11 12:44:44.386
80782092,0.00189920,1.08000000,2020-07-11 12:44:43.344
80782091,0.00189920,1.04000000,2020-07-11 12:44:43.327
80782090,0.00190030,0.16000000,2020-07-11 12:44:40.197
80782089,0.00190030,1.56000000,2020-07-11 12:44:40.189
80782088,0.00190020,0.11000000,2020-07-11 12:44:40.189
80782087,0.00190010,2.20000000,2020-07-11 12:44:40.189
80782086,0.00190010,3.75000000,2020-07-11 12:44:40.189
80782085,0.00190000,8.29000000,2020-07-11 12:44:40.189
80782084,0.00190000,3.00000000,2020-07-11 12:44:40.189
80782083,0.00190000,1.05000000,2020-07-11 12:44:40.189
80782082,0.00189970,2.17000000,2020-07-11 12:44:40.189
80782081,0.00189970,2.07000000,2020-07-11 12:44:40.189
80782080,0.00189970,0.35000000,2020-07-11 12:44:38.316
80782079,0.00189980,2.31000000,2020-07-11 12:44:35.602
