close,high,low,open,volume,baseVolume,datetime
8982.02,8984.19,8981.78,8983.42,14.03,126033.25,2020-06-28 01:04:00
8982.65,8983.84,8981.16,8982.02,9.951,89379.38,2020-06-28 01:05:00
8982.71,8982.81,8981.3,8982.65,8.009,71942.37,2020-06-28 01:06:00
8982.6,8982.71,8980.95,8982.71,7.364,66146.37,2020-06-28 01:07:00
8988.42,8989.92,8982.5,8982.6,34.05,306009.99,2020-06-28 01:08:00
8987.59,8989.15,8982.5,8988.42,27.28,245111.9,2020-06-28 01:09:00
8990.06,8990.34,8985.8,8987.59,13.21,118731.21,2020-06-28 01:10:00
8988.52,8990.06,8985.03,8990.06,9.181,82513.7,2020-06-28 01:11:00
8988.97,8990.62,8988.52,8988.52,5.755,51729.39,2020-06-28 01:12:00
8982.97,8988.97,8982.97,8988.97,12.54,112722.37,2020-06-28 01:13:00
8982.11,8986.91,8981.79,8982.97,24.33,218579.84,2020-06-28 01:14:00
8971.08,8983.3,8970.45,8982.11,30.95,277787.05,2020-06-28 01:15:00
8971.0,8973.89,8970.56,8971.08,10.14,90960.22,2020-06-28 01:16:00
8970.28,8975.63,8968.68,8971.0,15.91,142689.73,2020-06-28 01:17:00
8966.43,8970.32,8965.37,8970.28,19.81,177687.23,2020-06-28 01:18:00
8969.64,8970.0,8963.04,8966.43,8.892,79726.5,2020-06-28 01:19:00
8971.88,8971.89,8967.88,8969.64,49.51,444091.69,2020-06-28 01:20:00
8971.46,8972.73,8968.52,8971.88,12.47,111827.96,2020-06-28 01:21:00
8963.45,8974.07,8963.08,8971.46,26.08,233928.65,2020-06-28 01:22:00
8963.61,8966.38,8960.0,8963.45,16.61,148875.18,2020-06-28 01:23:00
8959.45,8964.49,8959.18,8963.61,23.64,211901.3,2020-06-28 01:24:00
8961.72,8962.97,8956.43,8959.45,10.28,92156.54,2020-06-28 01:25:00
8967.66,8967.94,8961.14,8961.72,25.24,226209.04,2020-06-28 01:26:00
8963.45,8969.79,8962.55,8967.66,8.854,79381.55,2020-06-28 01:27:00
8962.9,8964.8,8961.39,8963.45,14.21,127379.18,2020-06-28 01:28:00
8967.61,8967.93,8962.21,8962.9,19.63,176001.27,2020-06-28 01:29:00
8958.64,8968.28,8956.35,8967.61,19.37,173591.25,2020-06-28 01:30:00
8953.7,8958.64,8953.3,8958.64,78.83,705931.88,2020-06-28 01:31:00
8949.05,8953.7,8948.06,8953.7,65.09,582631.13,2020-06-28 01:32:00
8962.03,8963.24,8948.89,8949.05,40.47,362365.17,2020-06-28 01:33:00
8954.96,8963.91,8954.05,8962.03,23.93,214419.92,2020-06-28 01:34:00
8958.11,8959.14,8954.46,8954.96,8.944,80109.8,2020-06-28 01:35:00
8959.81,8960.0,8957.98,8958.11,9.066,81222.72,2020-06-28 01:36:00
8964.12,8965.5,8959.81,8959.81,16.61,148855.64,2020-06-28 01:37:00
8964.5,8966.0,8962.74,8964.12,10.41,93356.95,2020-06-28 01:38:00
8960.81,8966.5,8959.81,8964.5,12.15,108895.08,2020-06-28 01:39:00
8967.34,8967.38,8960.8,8960.81,5.987,53677.47,2020-06-28 01:40:00
8965.69,8968.0,8965.03,8967.34,13.16,118009.63,2020-06-28 01:41:00
8965.37,8965.73,8961.81,8965.69,10.47,93801.97,2020-06-28 01:42:00
8960.1,8965.57,8960.1,8965.37,11.85,106198.62,2020-06-28 01:43:00
8955.76,8960.52,8954.69,8960.1,8.172,73189.78,2020-06-28 01:44:00
8949.9,8955.76,8949.81,8955.76,13.98,125119.5,2020-06-28 01:45:00
8955.18,8956.19,8948.88,8949.9,34.32,307241.28,2020-06-28 01:46:00
8953.94,8957.91,8953.08,8955.18,24.08,215665.95,2020-06-28 01:47:00
8954.9,8956.0,8953.83,8953.94,4.07,36445.29,2020-06-28 01:48:00
8963.73,8964.34,8954.85,8954.9,26.25,235115.22,2020-06-28 01:49:00
8975.27,8975.27,8961.82,8963.73,33.52,300608.18,2020-06-28 01:50:00
8983.31,8993.11,8974.01,8975.27,114.03,1024644.22,2020-06-28 01:51:00
8983.9,8985.78,8979.28,8983.31,29.6,265901.77,2020-06-28 01:52:00
8982.65,8983.92,8979.96,8983.9,9.067,81447.44,2020-06-28 01:53:00
8977.79,8982.82,8970.53,8982.65,13.65,122487.03,2020-06-28 01:54:00
8975.81,8980.5,8965.26,8977.79,10.14,91004.3,2020-06-28 01:55:00
8968.75,8975.81,8965.39,8975.81,34.07,305664.46,2020-06-28 01:56:00
8962.62,8968.88,8962.62,8968.75,7.118,63815.7,2020-06-28 01:57:00
8967.03,8969.27,8962.55,8962.62,5.576,49988.88,2020-06-28 01:58:00
8971.8,8979.31,8967.03,8967.03,6.568,58946.91,2020-06-28 01:59:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:00:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:01:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:02:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:03:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:04:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:05:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:06:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:07:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:08:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:09:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:10:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:11:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:12:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:13:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:14:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:15:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:16:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:17:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:18:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:19:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:20:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:21:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:22:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:23:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:24:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:25:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:26:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:27:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:28:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:29:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:30:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:31:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:32:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:33:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:34:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:35:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:36:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:37:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:38:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:39:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:40:00
8971.8,8971.8,8971.8,8971.8,0.0,0.0,2020-06-28 02:41:00
