,Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,winTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
394,SMACross,15,49,0.0093,25.9744,31,7,23,0.2258,647.0058,-192.6082,1,7,-3.3592,268.0,333.0,528.5,533.0,415.625
395,SMACross,15,50,0.0624,25.9167,32,9,22,0.2812,522.4331,-184.1525,3,7,-2.837,169.0,336.0,452.0,510.0,366.75
396,SMACross,16,21,0.1437,17.0797,70,26,43,0.3714,316.0914,-149.1097,4,6,-2.1199,59.0,508.0,82.0,277.0,231.5
397,SMACross,16,22,0.1835,16.2754,63,23,39,0.3651,358.7261,-154.5183,3,6,-2.3216,29.0,517.0,105.0,378.0,257.25
398,SMACross,16,23,0.3128,18.5799,58,23,35,0.3966,397.5843,-156.3519,3,6,-2.5429,2.0,484.0,33.5,458.0,244.375
399,SMACross,16,24,0.2901,19.0101,55,23,32,0.4182,387.7382,-173.5163,3,5,-2.2346,5.0,468.0,13.5,328.0,203.625
400,SMACross,16,25,0.219,18.7228,54,25,28,0.463,316.8791,-186.2166,3,5,-1.7017,17.0,480.0,1.0,96.0,148.5
401,SMACross,16,26,0.089,19.3911,49,18,30,0.3673,339.8722,-166.5161,3,6,-2.0411,122.0,463.0,96.0,229.0,227.5
402,SMACross,16,27,0.0667,23.4341,45,18,27,0.4,339.1908,-200.5753,4,4,-1.6911,163.0,390.0,30.5,93.0,169.125
403,SMACross,16,28,0.0569,23.9933,43,15,28,0.3488,390.0331,-188.0226,3,5,-2.0744,184.0,377.0,143.0,246.0,237.5
404,SMACross,16,29,0.0357,25.8166,41,16,25,0.3902,347.9132,-208.1194,4,6,-1.6717,230.0,337.0,43.0,89.0,174.75
405,SMACross,16,30,0.0367,25.3333,40,13,26,0.325,430.3053,-200.5213,3,6,-2.1459,227.0,349.0,236.5,289.0,275.375
406,SMACross,16,31,0.0609,24.3254,39,13,25,0.3333,423.4371,-194.796,2,5,-2.1737,172.0,371.0,204.0,299.0,261.5
407,SMACross,16,32,0.0399,24.5258,39,13,25,0.3333,404.8582,-193.9737,2,5,-2.0872,220.0,369.0,204.0,259.0,263.0
408,SMACross,16,33,0.0694,19.912,37,13,23,0.3514,390.5675,-189.2493,3,6,-2.0638,156.0,453.0,136.0,242.0,246.75
409,SMACross,16,34,-0.0536,28.5431,37,10,26,0.2703,489.2017,-208.0149,2,6,-2.3518,362.0,275.0,481.0,399.0,379.25
410,SMACross,16,35,-0.0703,29.5022,37,9,27,0.2432,547.2063,-207.332,2,6,-2.6393,376.0,247.0,520.0,480.0,405.75
411,SMACross,16,36,-0.0949,30.732,37,10,26,0.2703,475.5588,-217.5372,2,8,-2.1861,401.0,219.0,481.0,304.0,351.25
412,SMACross,16,37,-0.1596,35.2452,38,10,27,0.2632,459.9452,-224.7907,2,9,-2.0461,465.0,87.0,498.5,232.0,320.625
413,SMACross,16,38,-0.0941,34.0271,38,11,26,0.2895,433.0981,-217.5657,2,6,-1.9907,400.0,123.0,423.5,206.0,288.125
414,SMACross,16,39,-0.1137,35.8412,36,10,25,0.2778,466.3425,-229.3143,2,6,-2.0336,419.0,68.0,461.0,225.0,293.25
415,SMACross,16,40,-0.1934,37.422,40,9,30,0.225,489.7531,-205.3751,2,11,-2.3847,494.0,37.0,531.5,416.0,369.625
416,SMACross,16,41,-0.2285,39.177,40,12,27,0.3,352.6172,-232.2067,2,8,-1.5185,510.0,14.0,366.0,44.0,233.5
417,SMACross,16,42,-0.1547,36.4859,35,13,21,0.3714,349.294,-282.7344,3,6,-1.2354,459.0,51.0,82.0,7.0,149.75
418,SMACross,16,43,-0.1474,36.8143,31,9,21,0.2903,487.5805,-272.4657,2,7,-1.7895,453.0,47.0,416.5,124.0,260.125
419,SMACross,16,44,0.0153,25.4851,31,9,21,0.2903,515.7361,-211.5963,2,8,-2.4374,257.0,343.0,416.5,433.0,362.375
420,SMACross,16,45,-0.024,27.009,31,10,20,0.3226,425.3926,-222.4489,2,7,-1.9123,319.0,313.0,250.0,174.0,264.0
421,SMACross,16,46,0.0326,23.1904,29,10,18,0.3448,456.7234,-232.8275,2,6,-1.9616,233.0,393.0,158.5,193.0,244.375
422,SMACross,16,47,0.0425,25.0746,30,11,18,0.3667,430.748,-236.5945,2,6,-1.8206,218.0,357.0,99.5,136.0,202.625
423,SMACross,16,48,0.0506,27.2064,28,10,17,0.3571,495.7268,-258.3955,3,5,-1.9185,193.0,305.0,121.0,176.0,198.75
424,SMACross,16,49,0.0568,26.9239,29,11,17,0.3793,449.993,-254.0935,3,5,-1.771,185.0,317.0,60.5,115.0,169.375
425,SMACross,16,50,0.1091,23.5918,30,11,18,0.3667,434.6433,-198.878,3,6,-2.1855,89.0,386.0,99.5,303.0,219.375
426,SMACross,17,22,0.2929,16.2752,67,25,41,0.3731,374.5804,-138.5617,3,5,-2.7033,4.0,518.0,76.5,496.0,273.625
427,SMACross,17,23,0.2588,18.7229,62,26,36,0.4194,345.1075,-167.1854,3,4,-2.0642,8.0,477.0,12.0,244.0,185.25
428,SMACross,17,24,0.1352,18.7228,58,23,35,0.3966,313.846,-164.8667,3,6,-1.9036,66.0,481.0,33.5,170.0,187.625
429,SMACross,17,25,0.0925,18.7228,55,21,33,0.3818,323.7267,-169.7006,3,5,-1.9076,114.0,479.0,54.0,173.0,205.0
430,SMACross,17,26,0.0326,19.9584,54,19,34,0.3519,331.2956,-170.0407,4,8,-1.9483,232.0,452.0,134.0,184.0,250.5
431,SMACross,17,27,0.0005,27.1705,49,17,32,0.3469,327.687,-173.9247,3,7,-1.8841,282.0,306.0,150.5,165.0,225.875
432,SMACross,17,28,0.0036,26.3093,46,16,30,0.3478,361.2228,-191.4619,6,6,-1.8867,276.0,326.0,146.5,166.0,228.625
433,SMACross,17,29,-0.0272,26.2742,44,16,28,0.3636,330.4947,-198.4417,6,6,-1.6654,323.0,327.0,106.5,85.0,210.375
434,SMACross,17,30,0.0063,25.1162,40,14,25,0.35,392.6602,-217.1445,3,6,-1.8083,270.0,356.0,139.5,132.0,224.375
435,SMACross,17,31,0.0163,24.5649,41,14,26,0.3415,398.1795,-207.8444,2,5,-1.9158,255.0,367.0,174.0,175.0,242.75
436,SMACross,17,32,-0.019,24.1641,39,12,26,0.3077,405.7967,-194.3215,2,5,-2.0883,311.0,375.0,332.0,260.0,319.5
